# time_ps avg_interchain_contacts
91600.000000 52.2016924200
91800.000000 52.3066373479
92000.000000 52.8585903517
92200.000000 52.7627348973
92400.000000 53.3586401496
92600.000000 52.5729034266
92800.000000 51.2056960930
93000.000000 50.9720656579
93200.000000 50.7269970696
93400.000000 51.1138408016
93600.000000 49.9478968552
93800.000000 51.7446613507
94000.000000 51.5761067652
94200.000000 51.7730494310
94400.000000 51.3243574555
94600.000000 53.2467399034
94800.000000 52.7303692182
95000.000000 52.7634309998
95200.000000 51.9684050563
95400.000000 53.0910983964
95600.000000 52.6201107856
95800.000000 51.7292025029
96000.000000 51.3420061325
96200.000000 51.3090110256
96400.000000 51.4360246577
96600.000000 50.9935532657
96800.000000 54.2058089328
97000.000000 53.5652542997
97200.000000 54.1419099480
97400.000000 53.4874396819
97600.000000 53.9653797383
97800.000000 53.3539111841
98000.000000 53.8164463387
98200.000000 52.1392889680
98400.000000 51.7595120188
98600.000000 52.7290682478
98800.000000 52.0925785854
99000.000000 51.7672292463
99200.000000 51.7344628447
99400.000000 51.8975286902
99600.000000 52.3765878399
99800.000000 52.0483622229
100000.000000 51.7018162421
100200.000000 51.6758319449
100400.000000 52.4816698721
100600.000000 51.8183690509
100800.000000 50.6992666730
101000.000000 51.7114517612
101200.000000 51.6724132693
101400.000000 50.5294173056
101600.000000 51.0456026847
101800.000000 50.8372050248
102000.000000 50.2918412376
102200.000000 50.1851925977
102400.000000 51.1235917758
102600.000000 50.3509250663
102800.000000 51.5062329623
103000.000000 51.6836454588
103200.000000 52.9256796334
103400.000000 52.0353608140
103600.000000 53.1292353746
103800.000000 51.8694770201
104000.000000 52.6214172625
104200.000000 52.1220077952
104400.000000 51.7726342656
104600.000000 51.3063196484
104800.000000 51.4896232907
105000.000000 50.3630193186
105200.000000 50.0039591702
105400.000000 51.0458313732
105600.000000 51.4524251841
105800.000000 52.7868957946
106000.000000 52.5645913675
106200.000000 53.9914299857
106400.000000 54.5042156930
106600.000000 54.4203015151
106800.000000 53.9721180469
107000.000000 53.6450750228
107200.000000 55.1841923379
107400.000000 53.2203930703
107600.000000 52.1321379681
107800.000000 52.3973374049
108000.000000 50.3322133529
108200.000000 51.1355399787
108400.000000 51.2013364877
108600.000000 53.8886680262
108800.000000 54.0650231743
109000.000000 55.1020257772
109200.000000 54.6215200475
109400.000000 55.2130329276
109600.000000 54.6059510517
109800.000000 53.7474937811
110000.000000 54.7575198990
110200.000000 53.8146894560
110400.000000 53.9227220200
110600.000000 54.3728227635
110800.000000 54.8952804122
111000.000000 54.4409525596
111200.000000 53.7718710417
111400.000000 52.8510087229
111600.000000 54.3790207777
111800.000000 53.7575676213
112000.000000 52.7011684400
112200.000000 52.9666325025
112400.000000 51.7984680096
112600.000000 52.0816400271
112800.000000 50.7558292150
113000.000000 50.7187362393
113200.000000 51.1908543155
113400.000000 51.8578368416
113600.000000 50.4524950123
113800.000000 50.1888042595
114000.000000 52.0941270675
114200.000000 52.3421234157
114400.000000 50.6189050066
114600.000000 50.3451095770
114800.000000 50.6264699378
115000.000000 50.7793711851
115200.000000 51.3609375610
115400.000000 51.0146528864
115600.000000 49.4825677674
115800.000000 49.7131567116
116000.000000 49.9506887079
116200.000000 51.1685916360
116400.000000 50.2471016685
116600.000000 50.0154528607
116800.000000 49.9811568984
117000.000000 50.4764823064
117200.000000 51.0659454452
117400.000000 52.1367822810
117600.000000 52.0148856579
117800.000000 51.8137158637
118000.000000 51.7928982270
118200.000000 52.3791453493
118400.000000 51.1124187562
118600.000000 49.4496778483
118800.000000 49.7449383157
119000.000000 50.8411116503
119200.000000 49.9053666120
119400.000000 51.0209109418
119600.000000 51.9608814777
119800.000000 51.6895878477
120000.000000 49.9302614657
120200.000000 50.2650708517
120400.000000 50.9706916393
120600.000000 51.0075282029
120800.000000 50.0061751389
121000.000000 51.5798885122
121200.000000 51.0888334773
121400.000000 52.2859811860
121600.000000 51.9441601281
121800.000000 53.3062086807
122000.000000 54.8998218331
122200.000000 55.6413538333
122400.000000 55.6196409715
122600.000000 55.6433701774
122800.000000 54.8487496315
123000.000000 53.0426445971
123200.000000 51.9614882857
123400.000000 51.9326987249
123600.000000 53.0272489731
123800.000000 52.6424011953
124000.000000 53.1922317800
124200.000000 53.4586047041
124400.000000 53.4457568168
124600.000000 53.3950761570
124800.000000 53.7261190599
125000.000000 53.4818402843
125200.000000 54.1363212998
125400.000000 55.3049802107
125600.000000 54.8591208327
125800.000000 54.4432745507
126000.000000 54.3347809111
126200.000000 55.2031826833
126400.000000 56.3455501539
126600.000000 55.8096654409
126800.000000 55.7344083899
127000.000000 53.8001113551
127200.000000 53.5156042517
127400.000000 52.8917028998
127600.000000 53.1947778014
127800.000000 53.9889385447
128000.000000 54.0787389900
128200.000000 54.8749426696
128400.000000 54.1005751106
128600.000000 55.1562451602
128800.000000 54.2663584610
129000.000000 53.3011584208
129200.000000 55.5897591678
129400.000000 56.9855192189
129600.000000 56.0002393215
129800.000000 55.8762138793
130000.000000 55.1426308680
130200.000000 54.1691490460
130400.000000 56.6330141654
130600.000000 56.1545950061
130800.000000 56.4112273243
131000.000000 56.6569352308
131200.000000 56.8901579974
131400.000000 57.0714189707
131600.000000 55.8167647920
131800.000000 56.1404913496
132000.000000 55.3895391982
132200.000000 56.3740296153
132400.000000 56.7823681292
132600.000000 56.4057078721
132800.000000 57.2194752334
133000.000000 55.5102667751
133200.000000 57.3387646336
133400.000000 58.9029482982
133600.000000 58.8542666990
133800.000000 57.9945665411
134000.000000 59.1560915662
134200.000000 57.9936339890
134400.000000 58.7083770377
134600.000000 58.2382918080
134800.000000 58.2869260272
135000.000000 57.1960820723
135200.000000 58.4872800496
135400.000000 58.9778071613
135600.000000 56.7334862002
135800.000000 58.4469479628
136000.000000 60.4471588737
136200.000000 60.3015841808
136400.000000 59.1045257307
136600.000000 58.2387761305
136800.000000 57.6796889626
137000.000000 58.0407879949
137200.000000 58.1451085498
137400.000000 56.6355604955
137600.000000 56.6529114468
137800.000000 57.0705772801
138000.000000 55.7146962073
138200.000000 57.9469558765
138400.000000 57.0107367974
138600.000000 55.4147848531
