time_ps,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,frag10,frag11,frag12,frag13,frag14,frag15,frag16,frag17,frag18,frag19,frag20,frag21,frag22,frag23,frag24,frag25,frag26,frag27,frag28,frag29,frag30,frag31,frag32,frag33,frag34,frag35,frag36,frag37,frag38,frag39,frag40,frag41,frag42
4000.000000,89.7009171278,60.2081833292,102.6446128085,83.5173675558,65.7877660637,118.0129001287,110.9818531678,89.6312997636,97.4334850526,80.6579588388,76.4589753870,111.4038141750,76.0727758375,101.7052995290,51.5891021502,89.1265040408,63.2810721022,59.4946034608,105.7815898386,100.0086395377,66.4229241490,59.4579754065,73.6965387713,74.0044654302,81.9016472845,83.7806073291,77.3245744325,98.0604651373,68.3188143238,93.3965753990,134.1808458471,91.3296089426,61.7537857560,126.9546985366,81.8358119185,50.9275544899,92.8226167835,74.0270660450,89.3504395410,66.8405750079,68.9014681401,84.2679105852
4200.000000,88.5051310611,61.3561094368,99.6266157100,89.7746697307,77.2341721225,114.4102271703,101.7274888649,87.7508024731,87.1551621508,83.0667988243,66.6861242354,115.2832312724,96.1965625744,107.7119701741,59.3637376200,90.9482134453,68.2227883421,61.8771594546,144.3850270131,88.2448558891,66.1172982826,66.4167370592,78.2459907962,87.4104119123,71.3649486598,97.9731909221,96.1690920404,103.4476633923,70.1029392699,88.5973618034,128.6267055285,96.0201657535,66.9209102850,120.9677476540,80.5438393402,55.2833451866,92.9416575452,76.1621231975,82.5746454656,74.0996570180,72.1650419954,90.5376245326
4400.000000,80.8846442723,61.6051669330,110.7201926678,89.7222377400,69.7858901674,105.6395860991,92.5652352972,90.2802510132,93.7153935489,73.5293294985,74.9912505944,111.6947153293,97.9591717436,93.8245359698,53.8857922803,102.7027589599,54.1131804886,58.3109864231,126.2615078495,92.5525842875,59.1305866702,61.8028572441,81.1851400527,85.3390838206,71.2912676978,89.0558447235,94.4521083686,93.4540290617,66.9521196000,87.6619014977,120.4774662098,95.8389864890,64.3628122101,114.7332766299,70.3105459172,63.2315822234,106.0953492993,67.4665847905,81.5354905401,66.0064413092,67.8310145233,81.3066003086
4600.000000,85.2385569491,63.5289008436,110.9324738335,81.3404194081,69.1677760480,99.0074431528,86.7175076040,92.7503533542,93.6066732568,81.0151107502,71.3143109319,99.9664842877,82.0381492772,98.4930757222,52.9416134641,92.4158824205,58.6335358437,57.9830306811,109.4914603908,89.6756834102,64.4153800203,72.4534830258,79.8487346371,69.9423112716,79.4533610525,95.7805548781,86.6135888596,99.1379484853,70.0717374833,81.4377409597,122.7688699222,103.6982448396,75.5515352662,115.9703829013,80.6689108365,48.5789031909,98.1835401171,62.5268767644,85.6514067659,71.7296619025,63.6855476022,86.6658577659
4800.000000,89.2433608527,54.5816970659,106.9840512304,72.5670397611,71.2286106639,106.3147521131,90.0827770140,89.4350255312,98.7373978944,72.7797278739,75.2638466557,115.3739988422,71.7255756175,101.0001452385,55.2632253131,92.1269169677,51.9412669036,59.3532763858,111.4593714513,100.9183612912,64.7781329708,60.7460277594,76.7634436412,69.8621312188,72.4812904583,107.6438607247,89.2870859716,108.2480964250,72.5368384169,80.4446461819,118.8569414217,102.2533958216,65.9184022760,118.0867492427,87.8208701124,44.3373876147,99.4815283659,75.2904280187,88.7129808746,73.5246056432,62.7411061635,78.6463111472
5000.000000,87.9995094797,75.6226595053,97.0348863075,86.2552795147,60.3153826565,112.1481037881,78.3569417690,81.7668230941,85.0119903508,76.4095785873,88.2945340321,109.4297873835,77.4883098274,95.2990248450,59.5150043620,84.9583585683,45.9045887138,59.9224249126,120.1214258214,109.4406746112,64.0901674547,54.8357371779,82.9626827210,64.4301904292,77.9837979948,104.6249441805,100.1877425627,126.8117113416,74.2702203726,73.9773622339,120.2776583825,110.8523212173,59.7114696046,100.3423493837,89.9906174184,52.3462647066,106.8838846559,74.3289986003,70.1344827042,75.5948121593,65.0603641844,79.8406928182
5200.000000,88.6198059636,77.8870217405,101.9017867227,91.2142344278,55.2964790810,101.1600253354,77.6459384517,80.7325105814,74.0411611849,77.1245797753,83.0535778866,92.9276855254,75.5358830505,87.6538489625,47.3178313014,87.1661622119,49.5692272568,66.7819988980,114.7263735540,89.5961803392,58.8461399763,58.4270415890,70.3671490816,62.9265404745,68.4550225297,93.6298577238,100.5490585974,120.3502760708,71.2882613479,78.0275865623,126.7530403980,106.1589938309,52.8159720968,89.7984552347,77.6226951748,45.5241344601,100.3321533413,76.8295262909,73.4565735355,69.1207186192,63.4597187572,84.4800411998
5400.000000,84.7367226074,73.7084651142,106.1406550974,88.3689631911,56.9635093096,103.3312459712,75.3261060643,83.1360869845,81.6881822247,69.3420593565,85.8134111763,86.2074143703,70.3459914537,84.3831902232,48.4688608783,88.3834458912,50.2639307293,72.0450405271,117.8831356186,90.0658561194,61.6282872304,61.9767126433,64.3633159807,67.8169506633,59.1000453860,97.6193765022,108.1026655594,118.3154420075,68.7669973440,74.3513397334,109.6287857185,102.3746533035,66.4537627919,94.8228419289,76.3484413771,46.5074331367,106.0059180649,75.8847105430,82.4196292606,79.4221908574,70.7748228371,96.4963234257
5600.000000,89.8739883265,60.7497803904,105.5376034703,73.7462754808,57.0053364707,92.4800903058,85.9380450248,89.9341056636,66.6727048092,71.8955495911,80.7035901646,91.4787120976,60.6865030301,75.9099716547,47.9337358943,85.3639575904,44.4000117010,60.1956296530,108.2624286669,84.5419002978,59.9931550030,63.3975178559,65.1035187123,72.9517998388,72.3044319644,97.1967805879,102.4224539602,113.8720624696,66.0714074189,82.4647501800,115.7016122702,112.6469642278,63.2744593220,82.4357339644,76.2987348317,42.0428102223,105.5539828159,95.8262178026,77.9872137498,76.1515298805,66.1169767218,92.0849100112
5800.000000,94.8852546375,65.6312534320,94.0038239347,83.4062689316,55.4817818298,91.0100265064,77.1364909215,77.8819678465,76.9611250074,73.6504449506,81.5746632166,74.1453502638,48.5616073763,83.1572135854,48.7397114424,74.5898743809,48.7094349331,63.3365068446,111.1526840893,80.4002923417,66.7680709914,53.6230900557,62.1331304688,87.8140488894,69.9580058240,104.3985184089,105.0900768627,112.4506973725,75.4191737499,83.2345825536,131.2255043062,124.9493552815,73.9837826621,85.9375484699,69.2047492282,47.0924264446,107.8025678430,87.0595248039,96.9013885874,69.4706614816,62.4446312310,95.1847904526
6000.000000,92.2075940131,71.5256826843,94.3906599533,85.1221979570,58.3074490830,81.8529637751,90.8007846527,80.7117014918,86.7485029516,72.4236079727,78.5828574069,89.6692493830,50.0188478602,73.9414095103,53.1323020008,73.0089823280,47.8650694294,56.3996293611,108.2875797981,80.3352635519,62.0829683041,54.5607138261,61.6138798806,77.3320121101,71.5924714078,97.1600369005,103.2146313212,122.0781942383,82.9477373498,74.3633387538,142.3054063591,107.8957954459,73.8138080998,74.6769290086,68.9536824319,49.1547868825,111.1741493415,76.5967988361,90.8137961846,67.8899761951,68.3134529840,84.1524098693
6200.000000,105.9642641217,64.9285543776,105.0733554835,100.8176388134,56.8271091180,91.7133755935,94.2485615285,84.9027547901,62.2517760847,75.4163952314,80.1438942192,85.0783147271,67.1323706577,75.9294708554,56.3062435754,87.5853242332,39.6957746195,55.4171971160,112.2408196895,85.1044031719,55.4410332663,55.7099278464,63.1686820530,77.2634340119,61.2836343657,102.6926281712,106.5695974220,127.8732401181,68.6792494442,80.3337941020,136.3374194426,111.9547632391,70.3302652183,73.6715181394,67.0169882175,44.2531636944,110.9731639894,79.3756526419,100.9936242680,62.7475291485,65.5796576041,92.3073539865
6400.000000,101.8682839373,58.6832993547,100.9891715741,94.5237209316,61.8874049935,82.5470393909,89.7565973817,69.8337082009,83.1308509090,66.9707965578,77.7156177192,90.3616911494,57.1952753543,76.3656103064,57.4643717865,69.3543101726,41.3769073785,54.9348781574,112.2234425755,88.8607906269,63.2922832659,70.9514407977,68.4996578481,70.8917078274,54.1745586618,110.6287424145,114.8142039513,120.7721061375,66.3108922155,77.2932686908,134.7617301283,112.0340114809,67.2140030196,81.9786417509,73.9345980347,41.0500004405,94.3778473594,94.0223502740,92.8455467393,63.4463726175,76.9271660975,90.1364042698
6600.000000,98.7936522166,64.2666682406,114.4807860113,90.5979723522,66.9555487581,82.8093969126,94.7966636081,65.4843798399,79.1002619124,67.0819550569,74.6822943166,83.0495164990,52.5221625965,99.4616801112,55.5038427258,73.2811686036,44.4592278117,57.5131642909,113.7061477174,85.4958905038,67.6857474261,65.8590508548,58.7613847652,82.9040671702,60.8410573676,111.1469585756,94.7834350570,135.0375748025,69.6453932149,84.8216546753,124.6144035199,108.2650733637,54.2843340955,94.1085877157,78.1964481892,43.4403827028,83.6023628164,91.4110332415,96.0540945108,67.6481235416,65.0521191364,82.3016034220
6800.000000,113.6662713009,80.7310196020,98.8364306588,89.8578459390,65.3657351555,82.0041272138,82.3180286610,67.5692740278,71.8935553356,60.8005860042,65.8023854556,93.1058104423,44.6252093006,91.6169506277,56.2753791538,65.9498862938,45.1298716807,52.2871204476,107.8700857468,84.8536978259,67.6127984177,59.7485077023,66.1540953199,86.4591511768,61.4822271875,117.4417288289,107.3202889642,126.1293184240,61.0932482911,74.8787723602,139.1932313727,107.1290532437,55.8266857268,91.0696221964,78.3715020895,49.2428446353,90.5587795528,80.3462347852,95.8291064545,61.4379846791,74.8004441049,84.3929980306
7000.000000,102.1197563458,78.5208406497,98.7901406467,91.9574854476,64.8469304711,85.3986893619,67.8084035028,81.1716404526,75.5403575563,66.2683613523,66.1120645315,91.2616862191,34.7495593557,90.1172246491,57.3371572407,70.2789083779,39.3430181318,57.3141402786,114.0977829726,80.9906609095,60.4956314991,60.3132455007,66.1268512158,93.4760868659,71.6506149526,112.1756521880,92.6027798519,133.6655649425,61.7169916212,83.2650733307,123.7294821202,86.8270956533,61.5439727390,89.7722213360,81.7848208404,45.3592567904,92.2178904824,86.8542617470,104.7914351223,55.5181211638,69.5480378627,84.1755958181
7200.000000,106.9660723790,79.0968202123,100.7347881092,84.0682289815,65.2032606415,77.5746733892,81.1466657108,82.7227091443,78.3254758662,61.7838998125,69.8894355826,93.8693229526,43.7134711295,95.2049241564,53.5377895119,59.1785058217,52.7439155968,54.4630603157,106.9095048463,72.3899364693,57.6167809596,57.8982422685,69.9750057548,95.9386657203,62.7527778432,125.7419693547,80.1899092162,126.7163416113,66.0851464342,82.2837116320,114.6691433982,97.2543106661,58.9279601168,86.8113391861,72.1292800826,54.1029074428,76.9864100430,75.8819920099,94.6874228714,60.4529260062,75.7669267150,77.3715830434
7400.000000,106.2682280711,84.0629346818,98.3952530572,92.9535328316,63.7504324359,71.0988568334,79.4892501828,94.1724631609,76.0135993221,70.3010967358,71.1848623543,98.3081613727,48.6167476681,93.7982538603,57.3081106811,55.1031307412,58.7722175464,54.8977507160,100.4729958636,69.4279287400,57.0504454631,70.3877575523,68.5666907908,78.2078940473,61.6669421543,117.4413303180,79.3831193662,132.7209109376,77.9700149188,81.7552853837,111.3670070142,93.4753534968,62.8266169256,97.5136964634,78.9650492081,46.6862764008,83.2130194670,90.7418283484,108.6602699141,62.7366579817,79.0269904649,85.3615145115
7600.000000,97.3762639370,80.0201790690,103.6336753666,90.6718753877,64.5519736315,74.9855879035,86.4075164295,90.4241306406,56.8431344582,74.9632382969,71.0594887389,94.3501978201,44.1492568873,99.5928694168,53.5815785608,71.0207712872,57.1428528832,56.9858884404,97.5619069635,65.9178884219,60.0182855721,72.7772528073,76.0896363992,79.3308642477,55.4050690873,105.4808539721,79.1836848696,116.2402377844,79.0594771980,82.4520911612,119.6035781896,95.2302198315,78.9503847673,96.3838130066,81.0109304496,49.6649612890,80.6850335183,91.3506305444,107.8254836277,65.4291575877,73.1303719261,75.2118435960
