# time_ps avg_intrachain_contacts
103200.000000 80.9982636870
103400.000000 81.2577829280
103600.000000 80.6136842112
103800.000000 81.4680867415
104000.000000 78.1344931982
104200.000000 79.4318826951
104400.000000 78.0267960200
104600.000000 79.8741851592
104800.000000 80.4424217819
105000.000000 79.6348078443
105200.000000 80.2314916109
105400.000000 78.1663446958
105600.000000 78.8269177552
105800.000000 77.9465361232
106000.000000 74.7050529260
106200.000000 76.9610899583
106400.000000 78.6402870461
106600.000000 79.9153839640
106800.000000 78.6289283506
107000.000000 78.2051962636
107200.000000 76.9046272066
107400.000000 79.0660679236
107600.000000 78.1624312317
107800.000000 78.0937262262
108000.000000 77.2232749029
108200.000000 75.4228527425
108400.000000 77.1591557252
108600.000000 76.9539714278
108800.000000 76.3465162418
109000.000000 75.2406508534
109200.000000 76.3210538250
109400.000000 78.2794498345
109600.000000 79.6545102531
109800.000000 78.6800304473
110000.000000 77.7426107600
110200.000000 78.9065623373
110400.000000 79.7405065096
110600.000000 80.8519219785
110800.000000 82.1576632538
111000.000000 81.0588120707
111200.000000 81.2323569084
111400.000000 82.7051699952
111600.000000 78.2824380876
111800.000000 78.3163109483
112000.000000 78.9158456645
112200.000000 78.9635713792
112400.000000 80.1994171233
112600.000000 79.5821217127
112800.000000 80.2246690203
113000.000000 81.3779194360
113200.000000 81.4620068278
113400.000000 79.3695899138
113600.000000 78.3432043157
113800.000000 79.6182141337
114000.000000 77.9510175258
114200.000000 80.7930552791
114400.000000 81.7219390822
114600.000000 81.9229251429
114800.000000 81.4174317815
115000.000000 82.0143151195
115200.000000 79.4835612189
115400.000000 79.1546155953
115600.000000 79.1116721099
115800.000000 81.6332042211
116000.000000 81.0747985793
116200.000000 82.1126462346
116400.000000 81.0689011614
116600.000000 79.6637368873
116800.000000 79.8408091493
117000.000000 80.4085059264
117200.000000 79.8233381128
117400.000000 79.9420344636
117600.000000 79.2459952468
117800.000000 82.3779886447
118000.000000 79.3723278662
118200.000000 82.3051477135
118400.000000 80.3187112022
118600.000000 81.4382483657
118800.000000 81.2075262441
119000.000000 79.7568826639
119200.000000 80.6597440493
119400.000000 80.3550445474
119600.000000 79.4105637021
119800.000000 80.1249789034
120000.000000 80.0214749150
120200.000000 81.8162924898
120400.000000 82.6210173876
120600.000000 82.9751049990
120800.000000 80.9191768486
121000.000000 79.6748320995
121200.000000 80.0191466636
121400.000000 79.4347328325
121600.000000 81.1139343439
121800.000000 80.1032135801
122000.000000 78.8335160420
122200.000000 79.4352806132
122400.000000 78.4235723471
122600.000000 77.1101184255
122800.000000 76.4091693772
123000.000000 75.8657545520
123200.000000 75.4005555676
123400.000000 75.0828482864
123600.000000 77.0225480023
123800.000000 78.8752561940
124000.000000 79.7250948462
124200.000000 80.4260650352
124400.000000 78.9473511984
124600.000000 79.8049903599
124800.000000 78.5864563027
125000.000000 77.9768551362
125200.000000 77.4260779799
125400.000000 77.9129056579
125600.000000 80.3029697766
125800.000000 81.0729822193
126000.000000 78.6113132713
126200.000000 78.2177112756
126400.000000 79.0376739676
126600.000000 79.1126846831
126800.000000 79.7722776039
127000.000000 78.4077685949
127200.000000 80.1845106303
127400.000000 82.8824149920
127600.000000 84.3561455689
127800.000000 83.1268685455
128000.000000 84.5023134325
128200.000000 83.8641495165
128400.000000 83.3194980921
128600.000000 81.9571727331
128800.000000 81.6183614990
129000.000000 80.8937214884
129200.000000 83.1049151165
129400.000000 81.3753945396
129600.000000 82.5790190607
129800.000000 81.7264458906
130000.000000 80.5685718781
130200.000000 79.5904713863
130400.000000 80.2359539238
130600.000000 81.0667813634
130800.000000 78.9322179184
131000.000000 80.9351556817
131200.000000 79.2620505064
131400.000000 79.6508865152
131600.000000 78.3182671770
131800.000000 78.1770192412
132000.000000 79.9015053248
132200.000000 77.6827212035
132400.000000 79.7068403789
132600.000000 79.1064349762
132800.000000 77.3100952577
133000.000000 77.4540633507
133200.000000 77.4511216699
133400.000000 81.0154591461
133600.000000 79.2762186414
133800.000000 80.2011271256
134000.000000 78.5385016471
134200.000000 78.4443312274
134400.000000 78.9729125295
134600.000000 78.9824580842
134800.000000 79.4826809499
135000.000000 77.9902898262
135200.000000 79.3903880808
135400.000000 76.6629502723
135600.000000 78.2069727920
135800.000000 78.7672069458
136000.000000 77.7690003761
136200.000000 77.6760329879
136400.000000 79.4867736283
136600.000000 79.3866528553
136800.000000 80.4873826359
137000.000000 80.1215612551
137200.000000 80.6251941891
137400.000000 79.6256980802
137600.000000 80.3425574697
137800.000000 81.5573774343
138000.000000 82.5729087065
138200.000000 81.6075479725
138400.000000 82.1369922917
138600.000000 82.5624245361
138800.000000 82.1479306606
139000.000000 82.1932778435
139200.000000 83.1282377674
139400.000000 83.5360900016
139600.000000 85.5623482900
139800.000000 84.4180479274
140000.000000 84.1464972733
140200.000000 84.1125476243
140400.000000 83.0562028570
140600.000000 82.0943055443
140800.000000 81.9405671301
141000.000000 80.6309618225
141200.000000 80.3988246275
141400.000000 79.5714177859
141600.000000 81.4608338668
141800.000000 81.4939411180
142000.000000 79.7776583600
142200.000000 78.5492633773
142400.000000 77.4765215515
142600.000000 79.4504618006
142800.000000 80.8188795770
143000.000000 77.1832133438
143200.000000 77.3852987421
143400.000000 78.1736764148
143600.000000 78.8215050072
143800.000000 78.6533194522
144000.000000 76.8495702434
144200.000000 78.3123285676
